2017-12-08 15:42:38Z Start

2017-12-08 15:43:00Z CONNECT Socket Error!
2017-12-08 15:47:34Z ..Refresh..12/8/2017 3:47:34 PM

2017-12-08 15:47:37Z ..Refresh..12/8/2017 3:47:37 PM

2017-12-08 15:47:40Z ..Refresh..12/8/2017 3:47:40 PM

2017-12-08 15:47:43Z ..Refresh..12/8/2017 3:47:43 PM

2017-12-08 15:47:46Z ..Refresh..12/8/2017 3:47:46 PM

2017-12-08 15:47:49Z ..Refresh..12/8/2017 3:47:49 PM

2017-12-08 15:47:52Z ..Refresh..12/8/2017 3:47:52 PM

2017-12-08 15:47:55Z ..Refresh..12/8/2017 3:47:55 PM

2017-12-08 15:47:58Z ..Refresh..12/8/2017 3:47:58 PM

2017-12-08 15:48:01Z ..Refresh..12/8/2017 3:48:01 PM

2017-12-08 15:48:04Z ..Refresh..12/8/2017 3:48:04 PM

2017-12-08 15:48:07Z ..Refresh..12/8/2017 3:48:07 PM

2017-12-08 15:48:10Z ..Refresh..12/8/2017 3:48:10 PM

2017-12-08 15:48:13Z ..Refresh..12/8/2017 3:48:13 PM

2017-12-08 15:48:16Z ..Refresh..12/8/2017 3:48:16 PM

2017-12-08 15:48:19Z ..Refresh..12/8/2017 3:48:19 PM

2017-12-08 15:48:22Z ..Refresh..12/8/2017 3:48:22 PM

2017-12-08 15:48:25Z ..Refresh..12/8/2017 3:48:25 PM

2017-12-08 15:48:28Z ..Refresh..12/8/2017 3:48:28 PM

2017-12-08 15:48:31Z ..Refresh..12/8/2017 3:48:31 PM

2017-12-08 15:48:34Z ..Refresh..12/8/2017 3:48:34 PM

2017-12-08 15:48:37Z ..Refresh..12/8/2017 3:48:37 PM

2017-12-08 15:48:37Z UE4 Process has exited.

2017-12-08 15:48:37Z ....Build Derived Data Completed....

2017-12-08 15:48:37Z 

