2017-12-08 13:38:30Z Start

2017-12-08 13:38:52Z CONNECT Socket Error!
2017-12-08 13:47:32Z ..Refresh..12/8/2017 1:47:32 PM

2017-12-08 13:47:35Z ..Refresh..12/8/2017 1:47:35 PM

2017-12-08 13:47:38Z ..Refresh..12/8/2017 1:47:38 PM

2017-12-08 13:47:41Z ..Refresh..12/8/2017 1:47:41 PM

2017-12-08 13:47:44Z ..Refresh..12/8/2017 1:47:44 PM

2017-12-08 13:47:47Z ..Refresh..12/8/2017 1:47:47 PM

2017-12-08 13:47:50Z ..Refresh..12/8/2017 1:47:50 PM

2017-12-08 13:47:53Z ..Refresh..12/8/2017 1:47:53 PM

2017-12-08 13:47:56Z ..Refresh..12/8/2017 1:47:56 PM

2017-12-08 13:47:59Z ..Refresh..12/8/2017 1:47:59 PM

2017-12-08 13:48:02Z ..Refresh..12/8/2017 1:48:02 PM

2017-12-08 13:48:05Z ..Refresh..12/8/2017 1:48:05 PM

2017-12-08 13:48:08Z ..Refresh..12/8/2017 1:48:08 PM

2017-12-08 13:48:11Z ..Refresh..12/8/2017 1:48:11 PM

2017-12-08 13:48:14Z ..Refresh..12/8/2017 1:48:14 PM

2017-12-08 13:48:17Z ..Refresh..12/8/2017 1:48:17 PM

2017-12-08 13:48:20Z ..Refresh..12/8/2017 1:48:20 PM

2017-12-08 13:48:23Z ..Refresh..12/8/2017 1:48:23 PM

2017-12-08 13:48:26Z ..Refresh..12/8/2017 1:48:26 PM

2017-12-08 13:48:29Z ..Refresh..12/8/2017 1:48:29 PM

2017-12-08 13:48:32Z ..Refresh..12/8/2017 1:48:32 PM

2017-12-08 13:48:35Z ..Refresh..12/8/2017 1:48:35 PM

2017-12-08 13:48:38Z ..Refresh..12/8/2017 1:48:38 PM

2017-12-08 13:48:41Z ..Refresh..12/8/2017 1:48:41 PM

2017-12-08 13:48:44Z ..Refresh..12/8/2017 1:48:44 PM

2017-12-08 13:48:47Z ..Refresh..12/8/2017 1:48:47 PM

2017-12-08 13:48:50Z ..Refresh..12/8/2017 1:48:50 PM

2017-12-08 13:48:53Z ..Refresh..12/8/2017 1:48:53 PM

2017-12-08 13:48:56Z ..Refresh..12/8/2017 1:48:56 PM

2017-12-08 13:48:59Z ..Refresh..12/8/2017 1:48:59 PM

2017-12-08 13:49:02Z ..Refresh..12/8/2017 1:49:02 PM

2017-12-08 13:49:05Z ..Refresh..12/8/2017 1:49:05 PM

2017-12-08 13:49:08Z ..Refresh..12/8/2017 1:49:08 PM

2017-12-08 13:49:11Z ..Refresh..12/8/2017 1:49:11 PM

2017-12-08 13:49:14Z ..Refresh..12/8/2017 1:49:14 PM

2017-12-08 13:49:17Z ..Refresh..12/8/2017 1:49:17 PM

2017-12-08 13:49:20Z ..Refresh..12/8/2017 1:49:20 PM

2017-12-08 13:49:23Z ..Refresh..12/8/2017 1:49:23 PM

2017-12-08 13:49:26Z ..Refresh..12/8/2017 1:49:26 PM

2017-12-08 13:49:29Z ..Refresh..12/8/2017 1:49:29 PM

2017-12-08 13:49:32Z ..Refresh..12/8/2017 1:49:32 PM

2017-12-08 13:49:35Z ..Refresh..12/8/2017 1:49:35 PM

2017-12-08 13:49:38Z ..Refresh..12/8/2017 1:49:38 PM

2017-12-08 13:49:41Z ..Refresh..12/8/2017 1:49:41 PM

2017-12-08 13:49:44Z ..Refresh..12/8/2017 1:49:44 PM

2017-12-08 13:49:47Z ..Refresh..12/8/2017 1:49:47 PM

2017-12-08 13:49:50Z ..Refresh..12/8/2017 1:49:50 PM

2017-12-08 13:49:53Z ..Refresh..12/8/2017 1:49:53 PM

2017-12-08 13:49:56Z ..Refresh..12/8/2017 1:49:56 PM

2017-12-08 13:49:59Z ..Refresh..12/8/2017 1:49:59 PM

2017-12-08 13:50:02Z ..Refresh..12/8/2017 1:50:02 PM

2017-12-08 13:50:05Z ..Refresh..12/8/2017 1:50:05 PM

2017-12-08 13:50:08Z ..Refresh..12/8/2017 1:50:08 PM

2017-12-08 13:50:11Z ..Refresh..12/8/2017 1:50:11 PM

2017-12-08 13:50:14Z ..Refresh..12/8/2017 1:50:14 PM

2017-12-08 13:50:17Z ..Refresh..12/8/2017 1:50:17 PM

2017-12-08 13:50:20Z ..Refresh..12/8/2017 1:50:20 PM

2017-12-08 13:50:23Z ..Refresh..12/8/2017 1:50:23 PM

2017-12-08 13:50:26Z ..Refresh..12/8/2017 1:50:26 PM

2017-12-08 13:50:29Z ..Refresh..12/8/2017 1:50:29 PM

2017-12-08 13:50:32Z ..Refresh..12/8/2017 1:50:32 PM

2017-12-08 13:50:35Z ..Refresh..12/8/2017 1:50:35 PM

2017-12-08 13:50:38Z ..Refresh..12/8/2017 1:50:38 PM

2017-12-08 13:50:41Z ..Refresh..12/8/2017 1:50:41 PM

2017-12-08 13:50:44Z ..Refresh..12/8/2017 1:50:44 PM

2017-12-08 13:50:47Z ..Refresh..12/8/2017 1:50:47 PM

2017-12-08 13:50:50Z ..Refresh..12/8/2017 1:50:50 PM

2017-12-08 13:50:53Z ..Refresh..12/8/2017 1:50:53 PM

2017-12-08 13:50:56Z ..Refresh..12/8/2017 1:50:56 PM

2017-12-08 13:50:59Z ..Refresh..12/8/2017 1:50:59 PM

2017-12-08 13:51:02Z ..Refresh..12/8/2017 1:51:02 PM

2017-12-08 13:51:05Z ..Refresh..12/8/2017 1:51:05 PM

2017-12-08 13:51:08Z ..Refresh..12/8/2017 1:51:08 PM

2017-12-08 13:51:11Z ..Refresh..12/8/2017 1:51:11 PM

2017-12-08 13:51:14Z ..Refresh..12/8/2017 1:51:14 PM

2017-12-08 13:51:17Z ..Refresh..12/8/2017 1:51:17 PM

2017-12-08 13:51:20Z ..Refresh..12/8/2017 1:51:20 PM

2017-12-08 13:51:23Z ..Refresh..12/8/2017 1:51:23 PM

2017-12-08 13:51:26Z ..Refresh..12/8/2017 1:51:26 PM

2017-12-08 13:51:29Z ..Refresh..12/8/2017 1:51:29 PM

2017-12-08 13:51:32Z ..Refresh..12/8/2017 1:51:32 PM

2017-12-08 13:51:35Z ..Refresh..12/8/2017 1:51:35 PM

2017-12-08 13:51:38Z ..Refresh..12/8/2017 1:51:38 PM

2017-12-08 13:51:41Z ..Refresh..12/8/2017 1:51:41 PM

2017-12-08 13:51:44Z ..Refresh..12/8/2017 1:51:44 PM

2017-12-08 13:51:47Z ..Refresh..12/8/2017 1:51:47 PM

2017-12-08 13:51:50Z ..Refresh..12/8/2017 1:51:50 PM

2017-12-08 13:51:53Z ..Refresh..12/8/2017 1:51:53 PM

2017-12-08 13:51:56Z ..Refresh..12/8/2017 1:51:56 PM

2017-12-08 13:51:59Z ..Refresh..12/8/2017 1:51:59 PM

2017-12-08 13:52:02Z ..Refresh..12/8/2017 1:52:02 PM

2017-12-08 13:52:05Z ..Refresh..12/8/2017 1:52:05 PM

2017-12-08 13:52:08Z ..Refresh..12/8/2017 1:52:08 PM

2017-12-08 13:52:11Z ..Refresh..12/8/2017 1:52:11 PM

2017-12-08 13:52:14Z ..Refresh..12/8/2017 1:52:14 PM

2017-12-08 13:52:17Z ..Refresh..12/8/2017 1:52:17 PM

2017-12-08 13:52:20Z ..Refresh..12/8/2017 1:52:20 PM

2017-12-08 13:52:23Z ..Refresh..12/8/2017 1:52:23 PM

2017-12-08 13:52:26Z ..Refresh..12/8/2017 1:52:26 PM

2017-12-08 13:52:29Z ..Refresh..12/8/2017 1:52:29 PM

2017-12-08 13:52:32Z ..Refresh..12/8/2017 1:52:32 PM

2017-12-08 13:52:35Z ..Refresh..12/8/2017 1:52:35 PM

2017-12-08 13:52:38Z ..Refresh..12/8/2017 1:52:38 PM

2017-12-08 13:52:41Z ..Refresh..12/8/2017 1:52:41 PM

2017-12-08 13:52:44Z ..Refresh..12/8/2017 1:52:44 PM

2017-12-08 13:52:47Z ..Refresh..12/8/2017 1:52:47 PM

2017-12-08 13:52:50Z ..Refresh..12/8/2017 1:52:50 PM

2017-12-08 13:52:53Z ..Refresh..12/8/2017 1:52:53 PM

2017-12-08 13:52:56Z ..Refresh..12/8/2017 1:52:56 PM

2017-12-08 13:52:59Z ..Refresh..12/8/2017 1:52:59 PM

2017-12-08 13:53:02Z ..Refresh..12/8/2017 1:53:02 PM

2017-12-08 13:53:05Z ..Refresh..12/8/2017 1:53:05 PM

2017-12-08 13:53:08Z ..Refresh..12/8/2017 1:53:08 PM

2017-12-08 13:53:11Z ..Refresh..12/8/2017 1:53:11 PM

2017-12-08 13:53:14Z ..Refresh..12/8/2017 1:53:14 PM

2017-12-08 13:53:17Z ..Refresh..12/8/2017 1:53:17 PM

2017-12-08 13:53:20Z ..Refresh..12/8/2017 1:53:20 PM

2017-12-08 13:53:23Z ..Refresh..12/8/2017 1:53:23 PM

2017-12-08 13:53:26Z ..Refresh..12/8/2017 1:53:26 PM

2017-12-08 13:53:29Z ..Refresh..12/8/2017 1:53:29 PM

2017-12-08 13:53:32Z ..Refresh..12/8/2017 1:53:32 PM

2017-12-08 13:53:35Z ..Refresh..12/8/2017 1:53:35 PM

2017-12-08 13:53:38Z ..Refresh..12/8/2017 1:53:38 PM

2017-12-08 13:53:41Z ..Refresh..12/8/2017 1:53:41 PM

2017-12-08 13:53:44Z ..Refresh..12/8/2017 1:53:44 PM

2017-12-08 13:53:47Z ..Refresh..12/8/2017 1:53:47 PM

2017-12-08 13:53:50Z ..Refresh..12/8/2017 1:53:50 PM

2017-12-08 13:53:53Z ..Refresh..12/8/2017 1:53:53 PM

2017-12-08 13:53:56Z ..Refresh..12/8/2017 1:53:56 PM

2017-12-08 13:53:59Z ..Refresh..12/8/2017 1:53:59 PM

2017-12-08 13:54:02Z ..Refresh..12/8/2017 1:54:02 PM

2017-12-08 13:54:05Z ..Refresh..12/8/2017 1:54:05 PM

2017-12-08 13:54:08Z ..Refresh..12/8/2017 1:54:08 PM

2017-12-08 13:54:11Z ..Refresh..12/8/2017 1:54:11 PM

2017-12-08 13:54:14Z ..Refresh..12/8/2017 1:54:14 PM

2017-12-08 13:54:17Z ..Refresh..12/8/2017 1:54:17 PM

2017-12-08 13:54:20Z ..Refresh..12/8/2017 1:54:20 PM

2017-12-08 13:54:23Z ..Refresh..12/8/2017 1:54:23 PM

2017-12-08 13:54:26Z ..Refresh..12/8/2017 1:54:26 PM

2017-12-08 13:54:29Z ..Refresh..12/8/2017 1:54:29 PM

2017-12-08 13:54:32Z ..Refresh..12/8/2017 1:54:32 PM

2017-12-08 13:54:35Z ..Refresh..12/8/2017 1:54:35 PM

2017-12-08 13:54:38Z ..Refresh..12/8/2017 1:54:38 PM

2017-12-08 13:54:41Z ..Refresh..12/8/2017 1:54:41 PM

2017-12-08 13:54:44Z ..Refresh..12/8/2017 1:54:44 PM

2017-12-08 13:54:47Z ..Refresh..12/8/2017 1:54:47 PM

2017-12-08 13:54:50Z ..Refresh..12/8/2017 1:54:50 PM

2017-12-08 13:54:53Z ..Refresh..12/8/2017 1:54:53 PM

2017-12-08 13:54:56Z ..Refresh..12/8/2017 1:54:56 PM

2017-12-08 13:54:59Z ..Refresh..12/8/2017 1:54:59 PM

2017-12-08 13:55:02Z ..Refresh..12/8/2017 1:55:02 PM

2017-12-08 13:55:05Z ..Refresh..12/8/2017 1:55:05 PM

2017-12-08 13:55:08Z ..Refresh..12/8/2017 1:55:08 PM

2017-12-08 13:55:11Z ..Refresh..12/8/2017 1:55:11 PM

2017-12-08 13:55:14Z ..Refresh..12/8/2017 1:55:14 PM

2017-12-08 13:55:17Z ..Refresh..12/8/2017 1:55:17 PM

2017-12-08 13:55:20Z ..Refresh..12/8/2017 1:55:20 PM

2017-12-08 13:55:23Z ..Refresh..12/8/2017 1:55:23 PM

2017-12-08 13:55:26Z ..Refresh..12/8/2017 1:55:26 PM

2017-12-08 13:55:29Z ..Refresh..12/8/2017 1:55:29 PM

2017-12-08 13:55:32Z ..Refresh..12/8/2017 1:55:32 PM

2017-12-08 13:55:35Z ..Refresh..12/8/2017 1:55:35 PM

2017-12-08 13:55:38Z ..Refresh..12/8/2017 1:55:38 PM

2017-12-08 13:55:41Z ..Refresh..12/8/2017 1:55:41 PM

2017-12-08 13:55:44Z ..Refresh..12/8/2017 1:55:44 PM

2017-12-08 13:55:47Z ..Refresh..12/8/2017 1:55:47 PM

2017-12-08 13:55:50Z ..Refresh..12/8/2017 1:55:50 PM

2017-12-08 13:55:53Z ..Refresh..12/8/2017 1:55:53 PM

2017-12-08 13:55:56Z ..Refresh..12/8/2017 1:55:56 PM

2017-12-08 13:55:59Z ..Refresh..12/8/2017 1:55:59 PM

2017-12-08 13:56:02Z ..Refresh..12/8/2017 1:56:02 PM

2017-12-08 13:56:05Z ..Refresh..12/8/2017 1:56:05 PM

2017-12-08 13:56:08Z ..Refresh..12/8/2017 1:56:08 PM

2017-12-08 13:56:11Z ..Refresh..12/8/2017 1:56:11 PM

2017-12-08 13:56:14Z ..Refresh..12/8/2017 1:56:14 PM

2017-12-08 13:56:17Z ..Refresh..12/8/2017 1:56:17 PM

2017-12-08 13:56:20Z ..Refresh..12/8/2017 1:56:20 PM

2017-12-08 13:56:23Z ..Refresh..12/8/2017 1:56:23 PM

2017-12-08 13:56:26Z ..Refresh..12/8/2017 1:56:26 PM

2017-12-08 13:56:29Z ..Refresh..12/8/2017 1:56:29 PM

2017-12-08 13:56:32Z ..Refresh..12/8/2017 1:56:32 PM

2017-12-08 13:56:35Z ..Refresh..12/8/2017 1:56:35 PM

2017-12-08 13:56:38Z ..Refresh..12/8/2017 1:56:38 PM

2017-12-08 13:56:41Z ..Refresh..12/8/2017 1:56:41 PM

2017-12-08 13:56:44Z ..Refresh..12/8/2017 1:56:44 PM

2017-12-08 13:56:47Z ..Refresh..12/8/2017 1:56:47 PM

2017-12-08 13:56:50Z ..Refresh..12/8/2017 1:56:50 PM

2017-12-08 13:56:53Z ..Refresh..12/8/2017 1:56:53 PM

2017-12-08 13:56:56Z ..Refresh..12/8/2017 1:56:56 PM

2017-12-08 13:56:59Z ..Refresh..12/8/2017 1:56:59 PM

2017-12-08 13:57:02Z ..Refresh..12/8/2017 1:57:02 PM

2017-12-08 13:57:05Z ..Refresh..12/8/2017 1:57:05 PM

2017-12-08 13:57:08Z ..Refresh..12/8/2017 1:57:08 PM

2017-12-08 13:57:11Z ..Refresh..12/8/2017 1:57:11 PM

2017-12-08 13:57:14Z ..Refresh..12/8/2017 1:57:14 PM

2017-12-08 13:57:17Z ..Refresh..12/8/2017 1:57:17 PM

2017-12-08 13:57:20Z ..Refresh..12/8/2017 1:57:20 PM

